Week,Mon,Tues,Wed,Thur,Fri,Sat,Sun
1,Rest,4.8,6.4,Rest,4.8,Rest,9.7
2,Rest,6.4,6.4,Rest,4.8,Rest,12.9
3,Rest,6.4,6.4,Rest,6.4,Rest,16.1
4,Rest,6.4,8.0,Rest,6.4,Rest,19.3
5,Rest,8.0,8.0,Rest,6.4,Rest,24.1
6,Rest,8.0,8.0,Rest,6.4,Rest,12.9
7,Rest,8.0,9.7,Rest,6.4,Rest,27.4
8,Rest,6.4,8.0,Rest,6.4,Rest,16.1
9,Rest,8.0,9.7,Rest,6.4,Rest,30.6
10,Rest,6.4,8.0,Rest,6.4,Rest,16.1
11,Rest,8.0,11.3,Rest,6.4,Rest,32.2
12,Rest,6.4,8.0,Rest,6.4,Rest,16.1
13,Rest,8.0,11.3,Rest,6.4,Rest,33.8
14,Rest,6.4,12.9,Rest,6.4,Rest,19.3
15,Rest,8.0,16.1,Rest,6.4,Rest,9.7
16,Rest,6.4,4.8,3.2,Rest,Rest,42.2
