Week,Mon,Tues,Wed,Thur,Fri,Sat,Sun,Total
1,Rest,3,4,Rest,3,Rest,6,16
2,Rest,4,4,Rest,3,Rest,8,19
3,Rest,4,4,Rest,4,Rest,10,22
4,Rest,4,5,Rest,4,Rest,12,25
5,Rest,5,5,Rest,4,Rest,15,29
6,Rest,5,5,Rest,4,Rest,8,22
7,Rest,5,6,Rest,4,Rest,17,32
8,Rest,4,5,Rest,4,Rest,10,23
9,Rest,5,6,Rest,4,Rest,19,34
10,Rest,4,5,Rest,4,Rest,10,23
11,Rest,5,7,Rest,4,Rest,20,36
12,Rest,4,5,Rest,4,Rest,10,23
13,Rest,5,7,Rest,4,Rest,21,37
14,Rest,4,8,Rest,4,Rest,12,28
15,Rest,5,10,Rest,4,Rest,6,25
16,Rest,4,3,2,Rest,Rest,26.2,35.2
