Week,Mon,Tues,Wed,Thur,Fri,Sat,Sun
1,Rest,20 MINUTES EASY RUN,30 MINUTES EASY RUN,Rest,40 MINUTES EASY RUN,Rest,60 MINUTES EASY RUN
2,Rest,30 MINUTES EASY RUN,40 MINUTES STEADY RUN,Rest,40 MINUTES EASY RUN,Rest,70 MINUTES EASY RUN
3,Rest,,,Rest,,Rest,
4,Rest,,,Rest,,Rest,
5,Rest,,,Rest,,Rest,
6,Rest,,,Rest,,Rest,
7,Rest,,,Rest,,Rest,
8,Rest,,,Rest,,Rest,
9,Rest,,,Rest,,Rest,
10,Rest,,,Rest,,Rest,
11,Rest,,,Rest,,Rest,
12,Rest,,,Rest,,Rest,
13,Rest,,,Rest,,Rest,
14,Rest,,,Rest,,Rest,
15,Rest,,,Rest,,Rest,
16,Rest,,,,,Rest,
