Week,Mon,Tues,Wed,Thur,Fri,Sat,Sun,Total
1,Rest,4.8,6.4,Rest,4.8,Rest,9.7,25.7
2,Rest,6.4,6.4,Rest,4.8,Rest,12.9,30.6
3,Rest,6.4,6.4,Rest,6.4,Rest,16.1,35.4
4,Rest,6.4,8.0,Rest,6.4,Rest,19.3,40.2
5,Rest,8.0,8.0,Rest,6.4,Rest,24.1,46.7
6,Rest,8.0,8.0,Rest,6.4,Rest,12.9,35.4
7,Rest,8.0,9.7,Rest,6.4,Rest,27.4,51.5
8,Rest,6.4,8.0,Rest,6.4,Rest,16.1,37.0
9,Rest,8.0,9.7,Rest,6.4,Rest,30.6,54.7
10,Rest,6.4,8.0,Rest,6.4,Rest,16.1,37.0
11,Rest,8.0,11.3,Rest,6.4,Rest,32.2,57.9
12,Rest,6.4,8.0,Rest,6.4,Rest,16.1,37.0
13,Rest,8.0,11.3,Rest,6.4,Rest,33.8,59.5
14,Rest,6.4,12.9,Rest,6.4,Rest,19.3,45.1
15,Rest,8.0,16.1,Rest,6.4,Rest,9.7,40.2
16,Rest,6.4,4.8,3.2,Rest,Rest,42.2,56.6
