Week,Mon,Tues,Wed,Thur,Fri,Sat,Sun
1,Rest,20 MINUTES EASY RUN,30 MINUTES EASY RUN,Rest,40 MINUTES EASY RUN,Rest,60 MINUTES EASY RUN
2,Rest,30 MINUTES EASY RUN,40 MINUTES STEADY RUN,Rest,40 MINUTES EASY RUN,Rest,70 MINUTES EASY RUN
3,Rest,30 MINUTES EASY RUN,50 MINUTES STEADY RUN,Rest,35 MINUTES EASY RUN,Rest,80 MINUTES EASY RUN
4,Rest,35 MINUTES EASY RUN,60 MINUTES STEADY RUN,Rest,35 MINUTES EASY RUN,Rest,90 MINUTES EASY RUN
5,Rest,20 MINUTES EASY RUN,30 MINUTES STEADY RUN,Rest,20 MINUTES EASY RUN,Rest,60 MINUTES EASY RUN
6,Rest,40 MINUTES EASY RUN,RUN 44 MINUTES - 10-minute easy run / (60 secs fast / 2 min jog recovery) x 8 / 10-minute easy run,Rest,RUN 50 MINUTES - 10-minute easy run / (5 min steady / 5 min tempo) x 3 / 10-minute easy run,Rest,1 HOUR 45 MINUTES EASY RUN or distance goal of 16 km
7,Rest,45 MINUTES EASY RUN,RUN 40 MINUTES - 10-minute easy run / (2 min tempo run / 2 min jog recovery) x 5 / 10-minute easy run,Rest,RUN 46 MINUTES - 10-minute easy run / (8 min tempo run / 5 min steady run) x 2 / 10-minute easy run,Rest,2 HOURS 10 MINUTES EASY RUN or distance goal of 19.3 km
8,Rest,50 MINUTES EASY RUN,RUN 50 MINUTES - 10-minute easy run / (90 secs fast / 90 secs jog recovery) x 10 / 10-minute easy run,Rest,RUN 47 MINUTES - 10-minute easy run / (12 min tempo / with 3 min jog recovery) x 2 / 10-minute easy run,Rest,2 HOURS 30 MINUTES EASY RUN or distance goal of 22.5 km
9,Rest,50 MINUTES EASY RUN,RUN 56 MINUTES - 10-minute easy run / (4 min tempo run / 2 min jog recovery) x 6 / 10-minute easy run,Rest,RUN 40 MINUTES - 10-minute easy run / 20-minute tempo run / 10-minute easy run,Rest,2 HOURS 45 MINUTES EASY RUN or distance goal of 25.7 km
10,Rest,50 MINUTES EASY RUN,RUN 45 MINUTES - 10-minute easy run / (3 min tempo run / 2 min jog recovery) x 5 / 10-minute easy run,Rest,30 MINUTES EASY RUN,Rest,1 HOUR 30 MINUTES EASY RUN or race a half marathon
11,Rest,30 MINUTES EASY RUN,60 MINUTES STEADY RUN,Rest,RUN 50 MINUTES - 10-minute easy run / 30 minutes at target marathon pace / 10-minute easy run,Rest,2 HOURS 45 MINUTES STEADY RUN or distance goal of 25.7 km
12,Rest,50 MINUTES EASY RUN,RUN 50 MINUTES - 5-minute easy run / 40 minutes at target marathon pace / 5-minute easy run,Rest,35 MINUTES EASY RUN,Rest,RUN 3 HOURS - 1 hour easy / 1 hour steady / 1 hour easy or distance goal of 29 km. Include 10 km in the middle at target marathon pace
13,Rest,50 MINUTES EASY RUN,RUN 55 MINUTES - 10-minute easy run / (5 min tempo run / 2 min jog recovery) x 5 / 10-minute easy run,Rest,RUN 60 MINUTES - 5-minute easy run / 50 minutes at target marathon pace / 5-minute easy run / 5-minute tempo run / 10-minute easy run,Rest,3 HOURS 30 MINUTES EASY RUN or distance goal of 32 to 35 km. Include a section perhaps the final 13 km at target marathon pace. This is your longest run!
14,Rest,40 MINUTES EASY RUN,RUN 40 MINUTES - 10-minute easy run / (60 secs fast / 60 secs jog) x 10 / 10-minute easy run,Rest,RUN 50 MINUTES - 10-minute easy run / 10-minute steady run / 10 minutes at target marathon pace / 10 minutes faster / 10-minute easy run,Rest,90 MINUTES EASY RUN
15,Rest,30 MINUTES EASY RUN,RUN 41 MINUTES - 10-minute easy run / (60 secs fast / 60 secs jog recovery) x 5 / 3-minute jog / 8 minutes at target marathon pace /10-minute easy run,Rest,RUN 30 MINUTES - 5-minute easy run / 20 minutes at target marathon pace / 5-minute easy run,Rest,60 MINUTES EASY RUN
16,Rest,20 MINUTES EASY RUN,RUN 32 MINUTES - 10-minute easy run / 12 minutes at target marathon pace / 10-minute easy run,Rest,10 MINUTES EASY JOG,Rest,Race day!!!
